\*_connectivity.mat,MATLAB format mat file containing connectivity matrices for all the selected atlases. This is an hdf5-format file and can be read using ``scipy.io.matlab.loadmat`` in Python.
\*space-ACPC\*_dwimap.fib.gz,DSI Studio fib format containing the GQI ODFs used for AutoTrack.
\*space-ACPC\*_mapping.map.gz,Mapping file produced by DSI Studio.
