dki,ad,DKI axial diffusivity
dki,ak,DKI axial kurtosis
dki,fa,DKI fractional anisotropy
dki,kfa,DKI kurtosis fractional anisotropy
dki,linearity,DKI linearity
dki,md,DKI mean diffusivity
dki,mk,DKI mean kurtosis
dki,mkt,DKI mean of the kurtosis tensor
dki,planarity,DKI planarity
dki,rd,DKI radial diffusivity
dki,rk,DKI radial kurtosis
dki,sphericity,DKI sphericity
dkimicro,ad,DKI Microstructural Axial Diffusivity
dkimicro,ade,DKI Microstructural Axial Diffusivity of the Extra-Cellular Compartment
dkimicro,ak,DKI Microstructural Axial Kurtosis
dkimicro,awf,DKI axonal water fraction
dkimicro,axonald,DKI Microstructural Axonal Diffusivity
dkimicro,kfa,DKI Microstructural Kurtosis Fractional Anisotropy
dkimicro,md,DKI Microstructural Mean Diffusivity
dkimicro,rd,DKI Microstructural Radial Diffusivity
dkimicro,rde,DKI radial diffusivity of the extra-cellular compartment
dkimicro,tortuosity,DKI Microstructural Tortuosity
dkimicro,trace,DKI Microstructural Trace
msdki,awf,MSDKI Axonal Water Fraction from the mean signal diffusional kurtosis parameters assuming the 2-compartmental spherical mean technique model.
msdki,di,MSDKI intrinsic diffusivity from the mean signal diffusional kurtosis parameters assuming the 2-compartmental spherical mean technique model.
msdki,mfa,MSDKI Microscopic Fractional Anisotropy from the mean signal diffusional kurtosis parameters assuming the 2-compartmental spherical mean technique model.
msdki,msd,MSDKI Mean Signal Diffusivity
msdki,msk,MSDKI Mean Signal Kurtosis
